#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
dgemm; 3; 8; 221952; 6153753.950; 6234350.827; 6757250.350; 6173832.090; 2.220%; 0.265; 19.367
dgemm_var; 3; 8; 221952; 12354665.360; 12764491.733; 14102367.510; 12572604.080; 3.604%; 0.130; 18.918
