#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
dgemm; 3; 1; 27648; 216059.814; 217024.931; 218724.855; 216986.713; 0.261%; 0.949; 24.460
dgemm_var; 3; 1; 27648; 427188.416; 428375.689; 430828.065; 428325.439; 0.197%; 0.481; 24.784
