#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
dgemm; 3; 8; 972; 64902.412; 65050.949; 66208.651; 65011.038; 0.351%; 0.111; 0.538
dgemm_var; 3; 8; 972; 129796.353; 130026.723; 132519.166; 129934.298; 0.368%; 0.056; 0.538
