#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
dgemm; 3; 1; 221952; 6093841.820; 6107290.838; 6186897.730; 6106052.220; 0.267%; 0.271; 19.770
dgemm_var; 3; 1; 221952; 12216561.840; 12229784.266; 12255809.260; 12228850.070; 0.063%; 0.135; 19.746
