#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
dgemm; 3; 1; 1881792; 251447930.200; 252520892.297; 254365838.800; 252496900.200; 0.249%; 0.056; 11.804
dgemm_var; 3; 1; 1881792; 487598286.900; 492199653.503; 544226270.900; 489539699.900; 2.178%; 0.028; 12.112
