#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 1; 4194304; 1642421.710; 1681106.765; 1825583.830; 1670858.540; 2.058%; 18.589; 4.990
ddot; 1; 1; 4194304; 1277779.070; 1310046.482; 1562943.510; 1292846.670; 4.830%; 23.854; 6.403
dnrm2; 1; 1; 2097152; 670598.140; 713790.582; 740995.290; 719181.000; 2.379%; 21.890; 5.876
dmax; 1; 1; 2097152; 683339.950; 720984.547; 738711.970; 723666.420; 1.711%; 21.672; 2.909
