#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 8; 6144; 1421.257; 1454.153; 1570.260; 1445.219; 2.559%; 31.480; 8.450
ddot; 1; 8; 6144; 1723.704; 1760.689; 2005.589; 1743.114; 3.077%; 25.999; 6.979
dnrm2; 1; 8; 3072; 1677.568; 1691.434; 1715.021; 1687.388; 0.697%; 13.532; 3.632
dmax; 1; 8; 3072; 1679.636; 1696.596; 1748.473; 1691.667; 1.054%; 13.491; 1.811
