#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 8; 163840; 4326.801; 4344.252; 4403.228; 4339.544; 0.355%; 280.993; 75.428
ddot; 1; 8; 163840; 4265.100; 4308.239; 4673.080; 4293.381; 1.600%; 283.342; 76.059
dnrm2; 1; 8; 81920; 4179.276; 4205.346; 4488.110; 4190.237; 1.470%; 145.137; 38.960
dmax; 1; 8; 81920; 4178.303; 4190.967; 4234.046; 4184.861; 0.316%; 145.635; 19.547
