#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 1; 1048576; 210574.472; 212550.872; 214610.630; 212666.076; 0.485%; 36.756; 9.867
ddot; 1; 1; 1048576; 204169.995; 205780.815; 208219.535; 205372.625; 0.503%; 37.965; 10.191
dnrm2; 1; 1; 524288; 125338.286; 125758.539; 126290.859; 125812.981; 0.196%; 31.062; 8.338
dmax; 1; 1; 524288; 125581.004; 127929.327; 138771.641; 125912.121; 3.096%; 30.534; 4.098
