#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 1; 163840; 14829.337; 14898.243; 14977.656; 14893.656; 0.271%; 81.936; 21.995
ddot; 1; 1; 163840; 19545.427; 19635.870; 19834.564; 19612.091; 0.360%; 62.167; 16.688
dnrm2; 1; 1; 81920; 19513.471; 19571.651; 19691.686; 19552.441; 0.263%; 31.185; 8.371
dmax; 1; 1; 81920; 19505.443; 19572.413; 19801.757; 19539.359; 0.404%; 31.184; 4.185
