#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 1; 6144; 385.821; 389.484; 452.986; 386.911; 3.084%; 117.531; 31.549
ddot; 1; 1; 6144; 690.478; 693.463; 745.356; 691.357; 1.402%; 66.011; 17.720
dnrm2; 1; 1; 3072; 671.233; 673.417; 694.174; 671.969; 0.633%; 33.988; 9.124
dmax; 1; 1; 3072; 671.126; 674.135; 712.757; 672.220; 1.144%; 33.952; 4.557
