#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 4; 163840; 4039.877; 4143.818; 6855.645; 4052.592; 12.148%; 294.584; 79.077
ddot; 1; 4; 163840; 6375.922; 6387.753; 6413.204; 6385.268; 0.123%; 191.101; 51.298
dnrm2; 1; 4; 81920; 6397.562; 6407.192; 6415.466; 6409.496; 0.095%; 95.260; 25.571
dmax; 1; 4; 81920; 6399.680; 6409.330; 6426.525; 6409.203; 0.080%; 95.229; 12.781
