#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 12; 163840; 28302.343; 29067.105; 29522.651; 29209.965; 1.440%; 41.996; 11.273
ddot; 1; 12; 163840; 26872.992; 27067.127; 27369.358; 27038.586; 0.496%; 45.099; 12.106
dnrm2; 1; 12; 81920; 26139.632; 26341.060; 26595.580; 26327.047; 0.498%; 23.171; 6.220
dmax; 1; 12; 81920; 26123.964; 26322.259; 26560.393; 26292.694; 0.483%; 23.188; 3.112
