#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 1; 163840; 15477.404; 15524.619; 15608.854; 15521.427; 0.182%; 78.630; 21.107
ddot; 1; 1; 163840; 19535.615; 19563.313; 19791.091; 19550.184; 0.238%; 62.398; 16.750
dnrm2; 1; 1; 81920; 19502.932; 19522.041; 19622.249; 19514.787; 0.125%; 31.265; 8.393
dmax; 1; 1; 81920; 19502.470; 19520.229; 19569.071; 19510.056; 0.104%; 31.268; 4.197
