# 'threads' 'daxpy_base' 'daxpy' 'ddot_base' 'ddot' 'dnrm2_base' 'dnrm2' 'dmax_base' 'dmax'
1 1 15524.619 15524.619 19563.313 19563.313 19522.041 19522.041 19520.229
2 2 15524.619 6411.137 19563.313 10457.613 19522.041 10483.311 19520.229 10489.475
4 4 15524.619 4143.818 19563.313 6387.753 19522.041 6407.192 19520.229 6409.330
8 8 15524.619 4354.158 19563.313 4221.994 19522.041 4212.493 19520.229 4212.964
12 12 15524.619 29067.105 19563.313 27067.127 19522.041 26341.060 19520.229 26322.259





