#title; BLAS_lvl; threads; elems; min; mean; max; median; stddevp; GIB/s; GFLOP/s
daxpy; 1; 2; 163840; 6337.578; 6413.463; 6551.661; 6406.251; 0.984%; 190.334; 0.000
ddot; 1; 2; 163840; 10423.480; 10563.875; 11454.324; 10484.822; 2.253%; 115.554; 0.000
dnrm2; 1; 2; 81920; 10414.870; 10478.440; 10639.412; 10466.692; 0.604%; 58.248; 0.000
dmax; 1; 2; 81920; 10410.845; 10467.281; 10660.915; 10443.227; 0.655%; 58.310; 0.000
